TF	MotifName	Length	ConsensusScore
PAX4	MA0068.2	8	1.313292e+01
POU4F2	MA0683.1	16	2.735985e+01
Rxra	MA0512.2	14	2.581142e+01
SPDEF	MA0686.1	11	1.819541e+01
SPIC	MA0687.1	14	2.081386e+01
SRF	MA0083.3	16	2.636997e+01
TBXT	MA0009.2	16	2.622205e+01
TBX2	MA0688.1	11	1.623481e+01
TBX20	MA0689.1	11	1.833073e+01
TFAP4	MA0691.1	10	1.703642e+01
TFEB	MA0692.1	10	1.568442e+01
ZBTB7B	MA0694.1	12	1.907096e+01
ZBTB7C	MA0695.1	12	1.684538e+01
ZIC1	MA0696.1	14	2.406398e+01
ZBTB18	MA0698.1	13	1.934227e+01
LBX2	MA0699.1	10	1.203451e+01
Lhx4	MA0704.1	8	1.210964e+01
Lhx8	MA0705.1	8	1.188708e+01
MEOX2	MA0706.1	10	1.239333e+01
Msx3	MA0709.1	8	1.216347e+01
NOTO	MA0710.1	10	1.318739e+01
Nkx3-1	MA0124.2	9	1.480686e+01
OTX1	MA0711.1	8	1.239059e+01
PDX1	MA0132.2	8	1.185435e+01
PHOX2A	MA0713.1	11	1.744968e+01
PITX3	MA0714.1	9	1.285517e+01
PROP1	MA0715.1	11	1.906768e+01
PRRX1	MA0716.1	8	1.153992e+01
RAX2	MA0717.1	8	1.096686e+01
RAX	MA0718.1	10	1.316366e+01
RHOXF1	MA0719.1	8	1.021059e+01
Shox2	MA0720.1	8	1.180622e+01
UNCX	MA0721.1	8	1.097468e+01
VAX1	MA0722.1	8	1.135531e+01
VENTX	MA0724.1	9	1.413669e+01
VSX1	MA0725.1	8	1.183382e+01
VSX2	MA0726.1	8	1.264166e+01
ESR1	MA0112.3	17	2.740753e+01
ESRRB	MA0141.3	11	1.898463e+01
NR2F1	MA0017.2	13	1.801974e+01
NR3C1	MA0113.3	17	2.364867e+01
NR3C2	MA0727.1	17	2.415302e+01
Nr2F6	MA0728.1	15	2.764753e+01
RARA	MA0729.1	18	3.181206e+01
RARA	MA0730.1	17	2.817561e+01
BCL6B	MA0731.1	17	3.191867e+01
EGR2	MA0472.2	11	1.944238e+01
EGR3	MA0732.1	15	2.236928e+01
EGR4	MA0733.1	16	2.199691e+01
GLIS1	MA0735.1	16	2.808074e+01
GLIS2	MA0736.1	14	2.250832e+01
GLIS3	MA0737.1	14	2.542080e+01
HIC2	MA0738.1	9	1.229367e+01
Hic1	MA0739.1	9	1.386213e+01
KLF16	MA0741.1	11	1.793006e+01
SP8	MA0747.1	12	1.803411e+01
ZBED1	MA0749.1	13	2.271562e+01
ZIC4	MA0751.1	15	2.118365e+01
ZNF143	MA0088.2	16	2.624575e+01
ZNF410	MA0752.1	17	2.827485e+01
CUX2	MA0755.1	10	1.593891e+01
ONECUT3	MA0757.1	14	2.254058e+01
E2F7	MA0758.1	14	2.630364e+01
ERF	MA0760.1	10	1.689691e+01
ETS1	MA0098.3	10	1.594519e+01
ETV2	MA0762.1	11	1.846235e+01
ETV3	MA0763.1	10	1.649157e+01
GCM2	MA0767.1	10	1.534246e+01
HSF2	MA0770.1	13	2.180171e+01
HSF4	MA0771.1	13	1.952698e+01
IRF7	MA0772.1	14	2.215621e+01
MEF2D	MA0773.1	12	2.022158e+01
MEIS1	MA0498.2	7	1.037440e+01
MEIS2	MA0774.1	8	1.358061e+01
MEIS3	MA0775.1	8	1.231843e+01
MYBL1	MA0776.1	12	1.967128e+01
MYBL2	MA0777.1	15	2.296964e+01
NFKB1	MA0105.4	13	2.339316e+01
NFKB2	MA0778.1	13	2.116890e+01
PAX1	MA0779.1	17	2.623169e+01
PAX3	MA0780.1	10	1.800702e+01
PAX9	MA0781.1	17	2.781044e+01
PKNOX2	MA0783.1	12	2.306083e+01
POU2F1	MA0785.1	12	1.786288e+01
POU3F1	MA0786.1	12	1.789714e+01
POU3F2	MA0787.1	12	1.888466e+01
POU3F3	MA0788.1	13	1.974869e+01
POU3F4	MA0789.1	9	1.620361e+01
POU4F1	MA0790.1	14	2.093562e+01
POU4F3	MA0791.1	16	2.281966e+01
POU5F1B	MA0792.1	9	1.510170e+01
POU6F2	MA0793.1	10	1.557773e+01
PROX1	MA0794.1	12	2.044337e+01
RFX2	MA0600.2	16	2.615625e+01
SMAD3	MA0795.1	10	1.800373e+01
TGIF1	MA0796.1	12	2.347261e+01
TGIF2	MA0797.1	12	2.209251e+01
RFX5	MA0510.2	16	2.612933e+01
RUNX2	MA0511.2	9	1.502992e+01
EOMES	MA0800.1	13	1.853426e+01
MGA	MA0801.1	8	1.421763e+01
TBR1	MA0802.1	10	1.717364e+01
TBX15	MA0803.1	8	1.536312e+01
TBX19	MA0804.1	20	2.854626e+01
TBX1	MA0805.1	8	1.512507e+01
TBX4	MA0806.1	8	1.370715e+01
TBX5	MA0807.1	8	1.301861e+01
TEAD3	MA0808.1	8	1.346388e+01
TFAP2A	MA0810.1	12	1.606773e+01
TFAP2B	MA0811.1	12	1.654481e+01
TFAP2B	MA0812.1	11	1.662213e+01
TFAP2B	MA0813.1	13	1.914444e+01
TFAP2C	MA0524.2	12	1.648549e+01
TFAP2C	MA0815.1	13	1.923579e+01
Ascl2	MA0816.1	10	1.655689e+01
Atoh1	MA0461.2	10	1.492594e+01
BHLHE40	MA0464.2	10	1.525811e+01
BHLHE23	MA0817.1	12	1.843883e+01
FIGLA	MA0820.1	10	1.444583e+01
HES7	MA0822.1	12	2.161524e+01
HEY1	MA0823.1	10	1.595907e+01
MAX	MA0058.3	10	1.450223e+01
MNT	MA0825.1	10	1.400275e+01
OLIG1	MA0826.1	10	1.704641e+01
OLIG3	MA0827.1	10	1.561300e+01
Tcf21	MA0832.1	14	2.214516e+01
ATF7	MA0834.1	14	2.094610e+01
CEBPG	MA0838.1	10	1.727173e+01
CREB3L1	MA0839.1	14	2.302011e+01
Creb5	MA0840.1	12	1.906735e+01
Mafb	MA0117.2	12	1.696049e+01
NFE2	MA0841.1	11	1.898852e+01
TEF	MA0843.1	12	1.794072e+01
XBP1	MA0844.1	14	2.109838e+01
FOXB1	MA0845.1	11	1.764064e+01
FOXC1	MA0032.2	11	1.649333e+01
FOXC2	MA0846.1	12	1.713968e+01
FOXO4	MA0848.1	7	1.280643e+01
FOXO6	MA0849.1	7	1.334226e+01
FOXP3	MA0850.1	7	1.171389e+01
Foxj3	MA0851.1	17	1.989207e+01
Alx4	MA0853.1	17	2.062840e+01
Alx1	MA0854.1	17	2.035747e+01
RXRB	MA0855.1	14	2.610395e+01
RXRG	MA0856.1	14	2.563571e+01
Rarb	MA0857.1	16	2.996229e+01
Rarb	MA0858.1	17	2.833114e+01
Rarg	MA0859.1	16	2.833178e+01
Rarg	MA0860.1	17	2.970009e+01
TP63	MA0525.2	18	3.035463e+01
TP53	MA0106.3	18	2.838665e+01
TP73	MA0861.1	18	2.435373e+01
GMEB2	MA0862.1	8	1.325737e+01
MTF1	MA0863.1	14	2.540104e+01
E2F1	MA0024.3	12	1.903039e+01
SOX21	MA0866.1	15	2.637228e+01
Sox1	MA0870.1	15	2.562506e+01
TFAP2A	MA0872.1	13	1.916225e+01
ELK1	MA0028.2	10	1.741250e+01
HOXD12	MA0873.1	11	1.776449e+01
Arx	MA0874.1	17	2.194539e+01
BARX1	MA0875.1	8	1.122042e+01
BSX	MA0876.1	8	1.102443e+01
Dlx3	MA0880.1	8	1.056751e+01
Dlx4	MA0881.1	8	1.087353e+01
DLX6	MA0882.1	8	1.118459e+01
Dmbx1	MA0883.1	17	1.894999e+01
EMX2	MA0886.1	10	1.362643e+01
EVX1	MA0887.1	10	1.227285e+01
EVX2	MA0888.1	10	1.235674e+01
GBX1	MA0889.1	10	1.412488e+01
GBX2	MA0890.1	10	1.316852e+01
GSC2	MA0891.1	10	1.280905e+01
GSX1	MA0892.1	10	1.147805e+01
HESX1	MA0894.1	10	1.357477e+01
HMBOX1	MA0895.1	10	1.416410e+01
Hmx1	MA0896.1	17	2.136131e+01
Hmx2	MA0897.1	17	2.323275e+01
Hmx3	MA0898.1	17	2.331368e+01
HOXA10	MA0899.1	11	1.473617e+01
HOXB3	MA0903.1	10	1.149087e+01
HOXC10	MA0905.1	10	1.488553e+01
HOXC12	MA0906.1	11	1.800971e+01
HOXC13	MA0907.1	11	1.769034e+01
HOXD11	MA0908.1	10	1.597834e+01
Hoxa11	MA0911.1	12	1.697480e+01
ISL2	MA0914.1	8	1.209997e+01
FOXK1	MA0852.2	14	1.735361e+01
GATA2	MA0036.3	11	1.452886e+01
HIF1A	MA1106.1	10	1.331938e+01
MYC	MA0147.3	12	1.604499e+01
MYB	MA0100.3	10	1.296070e+01
MYCN	MA0104.4	12	1.686703e+01
NEUROD1	MA1109.1	13	1.664613e+01
NFIC	MA0161.2	11	1.436831e+01
NFYA	MA0060.3	11	1.642520e+01
NR2F2	MA1111.1	11	1.528698e+01
PAX5	MA0014.3	12	1.641711e+01
PBX3	MA1114.1	17	2.084862e+01
POU5F1	MA1115.1	11	1.509885e+01
RBPJ	MA1116.1	10	1.338325e+01
RELB	MA1117.1	11	1.500115e+01
SIX1	MA1118.1	11	1.739332e+01
SIX2	MA1119.1	16	2.191411e+01
SOX10	MA0442.2	11	1.446076e+01
SOX13	MA1120.1	11	1.399465e+01
TEAD2	MA1121.1	13	1.667132e+01
TFDP1	MA1122.1	11	1.544889e+01
ZBTB7A	MA0750.2	13	1.731947e+01
ZEB1	MA0103.3	11	1.430953e+01
ZNF24	MA1124.1	13	2.348490e+01
ZNF384	MA1125.1	12	1.692799e+01
ZNF282	MA1154.1	17	2.702588e+01
ZSCAN4	MA1155.1	15	2.600904e+01
FOS::JUN	MA0099.3	10	1.589245e+01
FOS::JUN	MA1126.1	16	1.938094e+01
