TF	MotifName	Length	ConsensusScore
FOSL1	MA0477.2	13	1.670660e+01
FOXA1	MA0148.4	12	1.660881e+01
FOXA2	MA0047.3	11	1.525026e+01
FOXK2	MA1103.2	11	1.454451e+01
FOXP1	MA0481.3	11	1.457039e+01
GABPA	MA0062.3	14	1.833946e+01
GATA1	MA0035.4	11	1.476340e+01
GATA4	MA0482.2	12	1.614837e+01
GATA6	MA1104.2	13	1.708412e+01
GRHL2	MA1105.2	12	1.705385e+01
HLF	MA0043.3	14	1.802522e+01
HNF4A	MA0114.4	13	1.775863e+01
HNF4G	MA0484.2	13	1.773396e+01
HOXB13	MA0901.2	14	1.927202e+01
JUNB	MA0490.2	13	1.709933e+01
JUND	MA0491.2	13	1.695756e+01
KLF4	MA0039.4	12	1.616259e+01
KLF9	MA1107.2	16	2.184726e+01
LHX2	MA0700.2	11	1.454697e+01
MAFF	MA0495.3	16	2.127739e+01
MAFK	MA0496.3	15	2.048779e+01
MEF2A	MA0052.4	15	2.007496e+01
MITF	MA0620.3	18	1.958540e+01
MXI1	MA1108.2	10	1.267682e+01
MYOD1	MA0499.2	13	1.684347e+01
MYOG	MA0500.2	12	1.529571e+01
MZF1	MA0056.2	13	1.608967e+01
MAFG::NFE2L1	MA0089.2	16	2.343289e+01
NFIL3	MA0025.2	13	1.700127e+01
NFYB	MA0502.2	12	1.781512e+01
NKX2-5	MA0063.2	11	1.416589e+01
NR4A1	MA1112.2	12	1.596833e+01
ONECUT1	MA0679.2	16	2.164309e+01
OTX2	MA0712.2	12	1.480562e+01
PBX2	MA1113.2	13	1.776714e+01
PHOX2B	MA0681.2	16	2.277093e+01
PKNOX1	MA0782.2	15	1.885714e+01
POU2F3	MA0627.2	13	1.839939e+01
PRDM1	MA0508.3	11	1.587326e+01
RUNX3	MA0684.2	12	1.494803e+01
SCRT1	MA0743.2	16	2.045430e+01
SCRT2	MA0744.2	16	2.005366e+01
SNAI2	MA0745.2	13	1.723536e+01
SOX2	MA0143.4	11	1.448176e+01
SPIB	MA0081.2	16	2.316451e+01
SREBF1	MA0829.2	14	1.911056e+01
TCF3	MA0522.3	11	1.422985e+01
TCF4	MA0830.2	13	1.627528e+01
TCF7	MA0769.2	11	1.473284e+01
TEAD1	MA0090.3	13	1.762854e+01
TEAD4	MA0809.2	12	1.625220e+01
TFAP2A	MA0003.4	14	1.755189e+01
TFAP2C	MA0814.2	14	1.769744e+01
TWIST1	MA1123.2	13	1.601531e+01
USF1	MA0093.3	14	1.906697e+01
YY2	MA0748.2	11	1.587173e+01
ZNF263	MA0528.2	12	1.691593e+01
CREM	MA0609.2	16	1.949681e+01
Foxn1	MA1684.1	6	1.013793e+01
BNC2	MA1928.1	12	1.545694e+01
ELK1::HOXA1	MA1931.1	14	2.373687e+01
ELK1::HOXB13	MA1932.1	16	2.569077e+01
ELK1::SREBF2	MA1933.1	16	2.569607e+01
ERF::FIGLA	MA1934.1	16	2.319759e+01
ERF::FOXI1	MA1935.1	14	1.848709e+01
ERF::FOXO1	MA1936.1	14	1.981267e+01
ERF::HOXB13	MA1937.1	16	1.968665e+01
ERF::NHLH1	MA1938.1	17	2.761326e+01
ERF::SREBF2	MA1939.1	17	2.753406e+01
ETV2::DRGX	MA1940.1	14	2.122633e+01
ETV2::FIGLA	MA1941.1	16	2.351243e+01
ETV2::FOXI1	MA1942.1	15	2.122904e+01
ETV2::HOXB13	MA1943.1	15	2.244823e+01
ETV5::DRGX	MA1944.1	14	2.102525e+01
ETV5::FIGLA	MA1945.1	15	2.389825e+01
ETV5::FOXI1	MA1946.1	13	2.090059e+01
ETV5::FOXO1	MA1947.1	13	1.877576e+01
ETV5::HOXA2	MA1948.1	14	2.097066e+01
FLI1::DRGX	MA1949.1	15	2.317034e+01
FLI1::FOXI1	MA1950.1	14	2.011727e+01
FOS	MA1951.1	14	2.260736e+01
FOXJ2::ELF1	MA1952.1	14	1.985102e+01
FOXO1::ELF1	MA1953.1	14	2.063213e+01
FOXO1::ELK1	MA1954.1	14	2.093131e+01
FOXO1::ELK3	MA1955.1	14	2.123532e+01
FOXO1::FLI1	MA1956.1	14	2.362766e+01
HOXB2::ELK1	MA1957.1	14	2.294422e+01
HOXD12::ELK1	MA1958.1	17	2.658715e+01
KLF7	MA1959.1	9	1.520947e+01
MGA::EVX1	MA1960.1	12	1.881734e+01
PATZ1	MA1961.1	12	1.875077e+01
POU2F1::SOX2	MA1962.1	17	2.703657e+01
SATB1	MA1963.1	13	1.715573e+01
SMAD2	MA1964.1	10	1.334892e+01
SP5	MA1965.1	10	1.470845e+01
TFAP4::ETV1	MA1966.1	16	2.248782e+01
TFAP4::FLI1	MA1967.1	16	2.652288e+01
TFCP2	MA1968.1	10	1.624321e+01
THRA	MA1969.1	24	3.253064e+01
TRPS1	MA1970.1	12	1.578110e+01
ZBED2	MA1971.1	14	1.586247e+01
ZFP14	MA1972.1	15	2.158704e+01
ZKSCAN3	MA1973.1	20	2.672978e+01
ZNF211	MA1974.1	15	2.141734e+01
ZNF214	MA1975.1	15	2.198476e+01
ZNF320	MA1976.1	27	3.211849e+01
ZNF324	MA1977.1	21	2.662124e+01
ZNF354A	MA1978.1	21	2.576843e+01
ZNF416	MA1979.1	11	1.787349e+01
ZNF418	MA1980.1	15	2.431841e+01
ZNF530	MA1981.1	18	2.508330e+01
ZNF574	MA1982.1	15	2.236348e+01
ZNF582	MA1983.1	21	3.419741e+01
ZNF667	MA1984.1	12	1.889067e+01
ZNF669	MA1985.1	15	2.297953e+01
ZNF692	MA1986.1	10	1.514871e+01
ZNF701	MA1987.1	21	2.673092e+01
Atf3	MA1988.1	11	1.476906e+01
Bcl11B	MA1989.1	14	1.742052e+01
Gli1	MA1990.1	14	1.891435e+01
Hnf1A	MA1991.1	14	1.766486e+01
Ikzf3	MA1992.1	15	1.923416e+01
Neurod2	MA1993.1	10	1.344957e+01
Nkx2-1	MA1994.1	13	1.609022e+01
Npas4	MA1995.1	11	1.358115e+01
Nr1H2	MA1996.1	11	1.344816e+01
Olig2	MA1997.1	10	1.326832e+01
Prdm14	MA1998.1	12	1.674376e+01
Prdm5	MA1999.1	15	2.047346e+01
Six4	MA2001.1	11	1.503785e+01
Zfp335	MA2002.1	11	1.445729e+01
NKX2-4	MA2003.1	10	1.364367e+01
Gata3	MA0037.4	12	1.547474e+01
FOXD3	MA0041.2	16	2.101339e+01
Irf1	MA0050.3	15	2.144664e+01
PAX2	MA0067.2	17	2.429662e+01
Sox17	MA0078.2	14	1.752854e+01
SP1	MA0079.5	9	1.646425e+01
Spi1	MA0080.6	17	2.414423e+01
Sox5	MA0087.2	13	1.725183e+01
Yy1	MA0095.3	12	1.660118e+01
Elf5	MA0136.3	12	1.657431e+01
Nfatc2	MA0152.2	16	1.808598e+01
FEV	MA0156.3	12	1.842508e+01
Foxo3	MA0157.3	12	1.470596e+01
NR4A2	MA0160.2	10	1.560216e+01
CEBPB	MA0466.3	12	1.990533e+01
Crx	MA0467.2	10	1.303594e+01
Erg	MA0474.3	14	1.850465e+01
Foxo1	MA0480.2	11	1.387476e+01
Jun	MA0489.2	12	1.530844e+01
KLF1	MA0493.2	9	1.491286e+01
Nr5A2	MA0505.2	13	1.921630e+01
Nrf1	MA0506.2	15	2.172670e+01
POU2F2	MA0507.2	14	2.294129e+01
RFX1	MA0509.3	16	2.755851e+01
Sox3	MA0514.2	11	1.391620e+01
SP2	MA0516.3	9	1.621769e+01
Tcf12	MA0521.2	12	1.411450e+01
USF2	MA0526.4	12	1.936388e+01
Nfat5	MA0606.2	12	1.685926e+01
BHLHA15	MA0607.2	10	1.725670e+01
Dux	MA0611.2	16	2.126850e+01
Nfatc1	MA0624.2	12	1.565047e+01
NFATC3	MA0625.2	9	1.172889e+01
Twist2	MA0633.2	10	1.299128e+01
EN2	MA0642.2	8	1.195545e+01
ESX1	MA0644.2	8	1.237618e+01
Hoxa13	MA0650.3	12	1.608992e+01
HOXC11	MA0651.2	12	2.029815e+01
Mafg	MA0659.3	15	2.199560e+01
MSX1	MA0666.2	8	1.258936e+01
Neurod2	MA0668.2	15	1.776733e+01
Pax7	MA0680.2	15	2.033631e+01
SP4	MA0685.2	9	1.617524e+01
TBX21	MA0690.2	11	1.875902e+01
Vdr	MA0693.3	11	1.373725e+01
Zic3	MA0697.2	13	1.764014e+01
MNX1	MA0707.2	8	1.111174e+01
MSX2	MA0708.2	8	1.245991e+01
VAX2	MA0723.2	8	1.038741e+01
Gli2	MA0734.3	13	1.876364e+01
KLF14	MA0740.2	9	1.590591e+01
KLF12	MA0742.2	9	1.666837e+01
CUX1	MA0754.2	10	1.690985e+01
ONECUT2	MA0756.2	9	1.530222e+01
ELK3	MA0759.2	11	1.773480e+01
ETV4	MA0764.3	10	1.598048e+01
ETV5	MA0765.3	10	1.732492e+01
Lef1	MA0768.2	14	1.748908e+01
POU1F1	MA0784.2	16	2.517474e+01
RFX3	MA0798.3	16	2.806296e+01
RFX4	MA0799.2	17	2.525249e+01
BHLHE22	MA0818.2	10	1.628687e+01
CLOCK	MA0819.2	10	1.447698e+01
HES5	MA0821.2	10	1.528105e+01
SREBF2	MA0828.2	14	2.121029e+01
TFE3	MA0831.3	10	1.813783e+01
CEBPE	MA0837.2	12	1.992339e+01
FOXD2	MA0847.3	12	1.891654e+01
E2F8	MA0865.2	12	1.779482e+01
Sox11	MA0869.2	12	1.678227e+01
BARHL1	MA0877.3	8	1.350433e+01
CDX1	MA0878.3	10	1.697483e+01
DLX1	MA0879.2	8	1.104540e+01
DUXA	MA0884.2	13	1.929422e+01
Dlx2	MA0885.2	12	1.591599e+01
Hoxd13	MA0909.3	10	1.460317e+01
Nr1H4	MA1110.2	10	1.286760e+01
Atoh1	MA1467.2	11	1.483112e+01
Bhlha15	MA1472.2	12	1.577381e+01
Dlx5	MA1476.2	12	1.593982e+01
ELF2	MA1483.2	12	1.860233e+01
FOXE1	MA1487.2	14	2.095831e+01
GLI3	MA1491.2	16	2.635099e+01
HOXA7	MA1498.2	8	1.068223e+01
KLF10	MA1511.2	9	1.652690e+01
Lhx1	MA1518.2	18	2.032482e+01
Msgn1	MA1524.2	16	2.013860e+01
NFATC4	MA1525.2	10	1.496522e+01
NR1D2	MA1532.2	15	2.528292e+01
PITX2	MA1547.2	8	1.382878e+01
SOX18	MA1563.2	8	1.198360e+01
TBX3	MA1566.2	11	1.747464e+01
Tbx6	MA1567.2	12	1.677339e+01
Thap11	MA1573.2	14	2.361644e+01
ZNF75D	MA1601.2	12	2.114928e+01
ZNF281	MA1630.2	12	1.987856e+01
BACH1	MA1633.2	9	1.667434e+01
Prdm4	MA1647.2	17	2.197373e+01
THAP1	MA0597.2	12	1.662337e+01
NR5A1	MA1540.2	17	2.242920e+01
