Iteration	Mu	Sigma	Accept
0	-4.622107e+00	6.834628e-02	true
1	-4.622107e+00	6.834628e-02	false
2	-4.588257e+00	4.364280e-02	true
3	-4.986849e+00	6.830342e-02	true
4	-5.098311e+00	2.065766e-02	true
5	-5.098311e+00	2.065766e-02	false
6	-5.083301e+00	1.235714e-01	true
7	-4.814939e+00	1.725589e-01	true
8	-4.814939e+00	1.725589e-01	false
9	-4.884432e+00	2.212604e-01	true
10	-4.602921e+00	1.669654e-01	true
11	-4.602921e+00	1.669654e-01	false
12	-4.602921e+00	1.669654e-01	false
13	-4.602921e+00	1.669654e-01	false
14	-4.609705e+00	2.443889e-01	true
15	-4.609705e+00	2.443889e-01	false
16	-4.609705e+00	2.443889e-01	false
17	-4.609705e+00	2.443889e-01	false
18	-4.880973e+00	2.635665e-01	true
19	-4.854097e+00	1.820888e-01	true
20	-4.343446e+00	8.569569e-02	true
21	-4.381474e+00	8.522948e-02	true
22	-4.381474e+00	8.522948e-02	false
23	-4.577235e+00	6.810937e-02	true
24	-4.619115e+00	1.709179e-01	true
25	-4.600270e+00	2.403302e-01	true
26	-4.600270e+00	2.403302e-01	false
27	-4.583864e+00	2.051214e-01	true
28	-4.196057e+00	1.842638e-01	true
29	-4.311337e+00	1.605396e-01	true
30	-4.713319e+00	1.181238e-01	true
31	-4.533974e+00	1.476505e-01	true
32	-4.533974e+00	1.476505e-01	false
33	-4.533974e+00	1.476505e-01	false
34	-4.726480e+00	7.851298e-02	true
35	-4.726480e+00	7.851298e-02	false
36	-4.826575e+00	2.201663e-01	true
37	-4.747090e+00	2.663130e-01	true
38	-4.747090e+00	2.663130e-01	false
39	-4.538499e+00	3.791692e-01	true
40	-4.384664e+00	3.381386e-01	true
41	-4.227017e+00	3.209051e-01	true
42	-4.488869e+00	2.004560e-01	true
43	-4.539079e+00	9.335095e-02	true
44	-4.658011e+00	4.712518e-02	true
45	-4.763214e+00	1.419387e-01	true
46	-4.611027e+00	6.229522e-02	true
47	-4.541894e+00	3.791883e-01	true
48	-4.330389e+00	3.711200e-01	true
49	-4.330389e+00	3.711200e-01	false
50	-4.330389e+00	3.711200e-01	false
51	-4.626394e+00	2.991846e-01	true
52	-5.000327e+00	4.054418e-01	true
53	-5.484302e+00	2.669207e-01	true
54	-5.472530e+00	4.762798e-01	true
55	-5.505314e+00	5.178848e-01	true
56	-5.206565e+00	5.354062e-01	true
57	-5.379744e+00	4.210068e-01	true
58	-5.250414e+00	4.320423e-01	true
59	-4.945998e+00	1.995214e-01	true
60	-5.027620e+00	2.403973e-01	true
61	-5.027620e+00	2.403973e-01	false
62	-5.226112e+00	1.192305e-01	true
63	-5.226112e+00	1.192305e-01	false
64	-5.206361e+00	1.211984e-01	true
65	-5.009093e+00	2.321306e-01	true
66	-5.136670e+00	2.758125e-01	true
67	-4.896845e+00	2.799490e-01	true
68	-5.213250e+00	2.821790e-01	true
69	-5.213250e+00	2.821790e-01	false
70	-5.212658e+00	3.184946e-01	true
71	-5.112883e+00	3.406294e-01	true
72	-5.112883e+00	3.406294e-01	false
73	-5.121166e+00	1.701637e-01	true
74	-5.434698e+00	2.012493e-01	true
75	-5.537008e+00	1.096692e-01	true
76	-5.684358e+00	9.466258e-02	true
77	-5.865501e+00	1.114379e-01	true
78	-5.916142e+00	1.622501e-01	true
79	-5.916142e+00	1.622501e-01	false
80	-5.881199e+00	2.152743e-01	true
81	-6.193840e+00	2.595697e-01	true
82	-6.479871e+00	2.594019e-01	true
83	-6.623034e+00	1.328267e-01	true
84	-6.514874e+00	1.939247e-01	true
85	-6.701752e+00	1.528565e-01	true
86	-6.701752e+00	1.528565e-01	false
87	-7.041167e+00	2.674038e-01	true
88	-7.041167e+00	2.674038e-01	false
89	-7.090086e+00	3.832239e-01	true
90	-6.930532e+00	3.214775e-01	true
91	-6.930532e+00	3.214775e-01	false
92	-6.930532e+00	3.214775e-01	false
93	-7.372109e+00	2.284462e-01	true
94	-7.607150e+00	1.726504e-01	true
95	-7.476260e+00	1.972918e-01	true
96	-7.643907e+00	2.513852e-01	true
97	-7.642336e+00	2.079143e-01	true
98	-7.875515e+00	1.442857e-01	true
99	-7.875515e+00	1.442857e-01	false
